from,to,year,relationship,sector,tv
CB,GNTM,2017,candidate,tv_show,Pro7
CB,oneeins,2017,contract,modeling,
CB,elitemodelmanagement,,contract,modeling,
CB,balmai,,model,modeling,
CB,yohjiyamamoto,,model,modeling,
CB,agnesb,,model,modeling,
CB,bershka,,model,advertisment,
CB,ralphlauren,,model,advertisment,
CB,bree,,model,advertisment,
CB,cosmopolitan,,model,magazin,
CB,Fashionweek_Paris,,model,modeling,
CB,harpersbazaar,2020,model,magazin,
CB,mh,2022,love,,
CB,nastymagazin,2020,model,magazin,
CB,cruisearoundtheworld,2020,model,magazin,
CB,instagram,2017,influencer,social media,
CB,instagram,2018,influencer,social media,
CB,instagram,2019,influencer,social media,
CB,instagram,2020,influencer,social media,
CB,instagram,2021,influencer,social media,
CB,instagram,2022,influencer,social media,
SH,ONEeins,2017,contract,modeling,
SH,GNTM,2017,candidate,tv_show,Pro7
SH,metromodels,,contract,modeling,
SH,triumphlingerie,2020,model,magazin,
SH,shahafgershon,2020,model,magazin,
SH,brigitte,2019,model,magazin,
SH,lironmeyzabridal,2019,model,magazin,
SH,galitafashion,2019,model,magazin,
SH,aboutyou,2019,model,advertisment,
SH,fielmann,2018,model,advertisment,
SH,careline,2018,model,advertisment,
SH,primadonnamagazin,2018,model,magazin,
SH,michalskycampaign,2018,model,advertisment,
SH,laishamagazin,2018,model,magazin,
SH,tuccilookbook,2018,model,magazin,
SH,castrofashion,2018,model,advertisment,
SH,instagram,2017,influencer,social media,
SH,instagram,2018,influencer,social media,
SH,instagram,2019,influencer,social media,
SH,instagram,2020,influencer,social media,
SH,instagram,2021,influencer,social media,
SH,instagram,2022,influencer,social media,
RB,GNTM,2017,candidate,tv_show,Pro7
RB,fashionmanagement,,student,university,
RB,michaelmichalsky,2019,model,fashion_show,
RB,maisonnoée,2019,model,fashion_show,
