id,name,name_short,type,birth year,sex,hair,skin ,place of birth,nationality,ethnicity,follower_insta,follower_tiktok,market_cap,season_gntm,place_gntm
CB,Céline Bethmann,Céline Bethmann,model_influencerin,04.07.1998,weiblich,brown,light,Koblenz ,german,german,381,"425,3",,12,1
mh,Mats Hummels ,Mats Hummels,soccer,16.12.1988,männlich,brown,light,Bergisch Gladbach,german,german,4100,,,,
SH,Serlina Hohmann,Serlina Hohmann,model_influencerin,06.07.1994,weiblich,blonde,light,Koblez ,german,german ,258,,,12,2
RB,Romina Brennecke,Romina Brennecke,student,01.10.1996,weiblich,brown,light,Karlsruhe,german,german ,"2,813","0,3",,12,3
oneins,OneEins,,agency,,,,,,,,,,,,
elitemodelmanagement,Elite Model Management,,agency,,,,,,,,,,,,
balmai,Balmai,,,,,,,,,,,,,,
yohjiyamamoto,Yohji Yamamoto,,brand,,,,,,,,,,,,
agnesb,Agnes B,,brand,,,,,,,,,,,,
bershka,Bershka,,brand,,,,,,,,,,,,
ralphlauren,Ralph Lauren,,brand,,,,,,,,,,,,
bree,Bree,,brand,,,,,,,,,,,,
cosmopolitan,Cosmopolitan,,magazin,,,,,,,,,,,,
Fashionweek_Paris,Fashionweek Paris,,Fashion Show,,,,,,,,,,,,
harpersbazaar,Harpers Bazaar,,magazin,,,,,,,,,,,,
nastymagazin,Nasty Magazin,,magazin,,,,,,,,,,,,
cruisearoundtheworld,Cruise around the world ,,brand,,,,,,,,,,,,
GNTM,Germany's next Topmodel,,tv,,,,,,,,,,,,
metromodels,Metro models,,agency,,,,,,,,,,,,
triumphlingerie ,Triumph Lingerie,,brand,,,,,,,,,,,,
shahafgershon,Shahaf Gershon,,brand,,,,,,,,,,,,
brigitte,Brigitte,,magazin,,,,,,,,,,,,
lironmeyzabridal,Liron Meyzabridal,,brand,,,,,,,,,,,,
galitafashion,Galita Fashion,,brand,,,,,,,,,,,,
aboutyou,About You,,brand,,,,,,,,,,,,
fielmann,Fielmann,,brand,,,,,,,,,,,,
careline,Careline,,brand,,,,,,,,,,,,
primadonnamagazin,Primadonna Magazin,,magazin,,,,,,,,,,,,
michalskycampaign,Michalsky Campagne,,cooperation,,,,,,,,,,,,
laishamagazin,Laisha Magazin,,magazin,,,,,,,,,,,,
tuccilookbook,Tucci Lookbook,,brand,,,,,,,,,,,,
castrofashion,Castro Fashion,,brand,,,,,,,,,,,,
fashionmanagement ,Fashion Management,,university,,,,,,,,,,,,
michaelmichalsky,Michael Michalsky,,brand,,,,,,,,,,,,
maisonnoée,Maisonnoée,,brand,,,,,,,,,,,,
